company_id,year,previous_pattern,current_pattern
LICI,2022,Liquidating Assets,Mixed
LICI,2023,Mixed,Shareholder Returns
LICI,2024,Shareholder Returns,Reinvestor
LODHA,2016,Pre-Revenue,Mixed
LODHA,2017,Mixed,Shareholder Returns
LODHA,2018,Shareholder Returns,Mixed
LODHA,2019,Mixed,Growth Funded by Debt
LODHA,2020,Growth Funded by Debt,Liquidating Assets
LODHA,2024,Liquidating Assets,Mixed
LT,2017,Growth Funded by Debt,Mixed
LT,2018,Mixed,Distress Signal
LT,2019,Distress Signal,Growth Funded by Debt
LT,2020,Growth Funded by Debt,Mixed
LT,2021,Mixed,Shareholder Returns
LT,2024,Shareholder Returns,Liquidating Assets
LTIM,2014,Shareholder Returns,Liquidating Assets
LTIM,2015,Liquidating Assets,Reinvestor
LTIM,2016,Reinvestor,Shareholder Returns
LTIM,2018,Shareholder Returns,Reinvestor
LTIM,2020,Reinvestor,Shareholder Returns
LTIM,2022,Shareholder Returns,Reinvestor
LTIM,2024,Reinvestor,Shareholder Returns
M&M,2015,Growth Funded by Debt,Mixed
M&M,2019,Mixed,Growth Funded by Debt
M&M,2021,Growth Funded by Debt,Mixed
M&M,2022,Mixed,Shareholder Returns
M&M,2023,Shareholder Returns,Growth Funded by Debt
MARUTI,2019,Shareholder Returns,Reinvestor
MARUTI,2021,Reinvestor,Shareholder Returns
MARUTI,2022,Shareholder Returns,Reinvestor
MARUTI,2023,Reinvestor,Shareholder Returns
MOTHERSON,2015,Shareholder Returns,Mixed
MOTHERSON,2016,Mixed,Shareholder Returns
MOTHERSON,2017,Shareholder Returns,Mixed
MOTHERSON,2018,Mixed,Shareholder Returns
MOTHERSON,2024,Shareholder Returns,Mixed
NAUKRI,2014,Reinvestor,Mixed
NAUKRI,2016,Mixed,Reinvestor
NAUKRI,2020,Reinvestor,Liquidating Assets
NAUKRI,2021,Liquidating Assets,Mixed
NESTLEIND,2019,Shareholder Returns,Liquidating Assets
NESTLEIND,2020,Liquidating Assets,Shareholder Returns
NHPC,2014,Reinvestor,Shareholder Returns
NHPC,2020,Shareholder Returns,Mixed
NHPC,2021,Mixed,Shareholder Returns
NTPC,2014,Mixed,Shareholder Returns
NTPC,2017,Shareholder Returns,Mixed
NTPC,2021,Mixed,Shareholder Returns
ONGC,2014,Shareholder Returns,Mixed
ONGC,2015,Mixed,Shareholder Returns
ONGC,2018,Shareholder Returns,Mixed
ONGC,2019,Mixed,Shareholder Returns
PFC,2015,Distress Signal,Growth Funded by Debt
PFC,2017,Growth Funded by Debt,Mixed
PFC,2018,Mixed,Distress Signal
PFC,2019,Distress Signal,Growth Funded by Debt
PFC,2021,Growth Funded by Debt,Distress Signal
PFC,2022,Distress Signal,Reinvestor
PFC,2023,Reinvestor,Growth Funded by Debt
PIDILITIND,2014,Shareholder Returns,Reinvestor
